Nr	Text_vorher	NOM	Text_danach	Dateiname	Sprachraum	Jahr	Textsorte	Textnummer	Erstglied	Lemma	Fremdwortbasis	Praefix	Numerus	Simplexbasis	als_praep_Kompl	Prep_Det_Nom	Adj	Genitiv	Det	Prep
5005	Gleubigen/ von ewiger verdamnis der Gottlosen/ etc. 3. Es sind die Kirchen bey vns reformiret/ vnd werden darinnen nicht mehr gehoeret Papistische Legenden/ oder Abgoettische	Anruffung	der Heiligen/ oder Messopffer fur die Todten vnd Lebendigen/ Sondern man predigt das reine seligmachende Wort Gottes/ man handelt die Tauffe vnd Abendmal deutsch/ man	OMD-1590-KT-066.txt	OMD	1590	KT	066.txt	NA	Anrufung	NEIN	an	SG	NEIN	NEIN	NA	abgoettisch	postnom	KEIN	NA
66	inet/ hat sich solches  auf hundert absonderliche 	Betrachtungen	  erstrecket/ welche ich zu dienlicher Nachrichtun	NOBD-1650-ST-099.txt	NOBD	1650	ST	099.txt	NA	Betrachtung	NEIN	be	PL	NEIN	NEIN	NA	absonderlich	NA	s	auf
1740	arzu verordnet/ vnnd mit absonderlicher Wohn vnnd 	Vnderhaltung	 versehen werden/ Welcher so dann vnder andere ges	OOBD-1650-ST-094.txt	OOBD	1650	ST	094.txt	NA	Unterhaltung	NEIN	unter	SG	NEIN	NEIN	NA	absonderlich	NA	KEIN	mit
NA	arzu verordnet/ vnnd mit absonderlicher 	Wohn vnnd Vnderhaltung	 versehen werden/ Welcher so dann vnder andere ges	OOBD-1650-ST-094.txt	OOBD	1650	ST	094.txt	NA	Wohnung	NEIN	NA	SG	JA	NEIN	NA	absonderlich	NA	KEIN	mit
1205	dazumahl alsbald  an dem äuserlichen *Habit* oder 	Kleidung	 haben erkennet werden mögen/ also/  daß hohe *Min	OMD-1710-KT-137.txt	OMD	1710	KT	137.txt	NA	Kleidung	NEIN	NA	SG	JA	NEIN	NA	aeusserlich	NA	s	an
79	 dem geist gots warlich erlernet/ auch zu nutzperkeit der lesenden oder hoerenden vmb allerheilsamlichest	vnderrichtung	 vn_ ler der gleübigen in der heiligen  kirchen go	NOBD-1500-KT-009.txt	NOBD	1500	KT	009.txt	NA	Unterrichtung	NEIN	unter	SG	NEIN	NEIN	NA	allerheilsamlichst	NA	KEIN	um
3464	dung  seiner Federn/ biß zu der aller=niedrigsten 	scheinung	 gebracht/ und durch seine Verderbung in Verbesser	WOBD-1710-ST-133.txt	WOBD	1710	ST	133.txt	NA	Scheinung	NEIN	NA	SG	JA	NEIN	NA	allerniedrigst	NA	b	NA
5044	ist eine feindschafft wider Gott. Lucæ 17. Wenn jr alles gethan habt/ so sprecht/ Wir sind vnnuetze Knechte gewesen.</z> Zum andern/ Es bezeuget die allgemeine	Erfahrung/	wo wir hin sehen in der Welt/ finden wir in allen Winckeln nichts denn Suende/ ein jeder fuelets wie die Suende in seinem Fleisch wohnet/	OMD-1590-KT-066.txt	OMD	1590	KT	066.txt	NA	Erfahrung	NEIN	er	SG	NEIN	NEIN	NA	allgemein	NA	KEIN	NA
793	nen Böhmischen Ständen bey der allgemeinen 	Landes=Versammlung	  *in puncto Religionis* eine *Union* schlossen/ v	NOBD-1710-ST-135.txt	NOBD	1710	ST	135.txt	Landes	Versammlung	NEIN	ver	SG	NEIN	NEIN	NA	allgemein	NA	b	bei
2927	her vnordenlicher weise nachfolgen. Welcher alten 	Schulmeynung	 ich vor eylff Jahren/ in meinem einfältigen beden	WOBD-1620-ST-078.txt	WOBD	1620	ST	078.txt	Schul	Meinung	NEIN	NA	SG	JA	NEIN	NA	alt	NA	s	NA
45	ch gestalt vnnd besag der alten *Reformation* vnd 	Ordnungen	 alle Ritter/ oder vermög sonderbahrer Keys. deßwe	NOBD-1620-ST-082.txt	NOBD	1620	ST	082.txt	NA	Ordnung	NEIN	NA	PL	JA	NEIN	NA	alt	NA	b	NA
538	enden Personen zwar selbst halb/ es bey der alten 	Ordnung	 verbleiben/ vnnd sie die *Original* Vermächtnuß B	NOBD-1620-ST-082.txt	NOBD	1620	ST	082.txt	NA	Ordnung	NEIN	NA	SG	JA	NEIN	NA	alt	NA	s	bei
1033	ischen Sachen so vnverstendig/  daß er seine alte 	Wohnung	 vnd Vatterland/ darinnen  es jhm wol ergangen/ oh	OMD-1620-KT-085.txt	OMD	1620	KT	085.txt	NA	Wohnung	NEIN	NA	SG	JA	NEIN	NA	alt	prenom	s	NA
2709	als ein vnzeytiger apffel/ zeychet  ein anbegynde 	dawu_g	 des mage_s volbracht. ¶Der harn gantz gel as zyti	WOBD-1530-ST-023.txt	WOBD	1530	ST	023.txt	NA	Dauung	NEIN	NA	SG	JA	NEIN	NA	anbeginnend	NA	u	NA
