Nr	Text_vorher	UNG.NOM	Text_danach	Dateiname	Textsorte	Periode	Sprachraum	Jahr	Jahrzehnt	Titelstichwort	Erstglied	Lemma	Adj	Det	als_praep_Kompl	Praeposition	Genitiv	Zweitglied	Numerus	Simplexbasis	Fremdwortbasis	Praefix	Basisverb	
1020	ird, schon gethan. Ein gleiches zeigt sich an der 	Benahmung	 des hiesigen Orts. Dann daÃŸ er vor Alters der Ha	HUMA_P2_OOD_1731_AntiquitaetenSchatzRAW.txt	HUMA	P2	OOD	1731	1735	AntiquitaetenSchatzRAW.txt	NA	Benamsung	NA	b	NEIN	an	postnom	NA	SG	NEIN	NEIN	be	benamsen	
1231	  Nichts ist so geschickt, die letzte Hand an die 	Bildung	 des Juenglings zu legen, als der Umgang mit tugen	HUMA_P3_NoD_1788_MenschenRAW.txt	HUMA	P3	NoD	1788	1785	MenschenRAW.txt	NA	Bildung	NA	b	NEIN	an	KEIN	NA	SG	JA	NEIN	NA	bilden	
1542	zu nuetzen wissen.         Vielen fehlt es an der 	Erziehung	. Sie werden roh und ohne Point d'honneur erzogen,	HUMA_P3_WOD_1784_WeibsRAW.txt	HUMA	P3	WOD	1784	1785	WeibsRAW.txt	NA	Erziehung	NA	b	NEIN	an	KEIN	NA	SG	NEIN	NEIN	er	erziehen	
2102	chten/ vermoege Uns und Unsern Successorn, an der 	Regierung	 abgestatteten Eyd und Pflichten/ gebuehrend unter	LEGA_P2_NoD_1700_BraunschweigRAW.txt	LEGA	P2	NoD	1700	1705	BraunschweigRAW.txt	NA	Regierung	NA	b	NEIN	an	KEIN	NA	SG	NA	JA	NA	regieren	
2344	urs der Regimenter sollen die Commissarien an der 	Musterung	 nicht hindern.] XI. Wann die Kriegs-Commissarii, 	LEGA_P2_OMD_1723_JurisMilitarisRAW.txt	LEGA	P2	OMD	1723	1725	JurisMilitarisRAW.txt	NA	Musterung	NA	b	NEIN	an	KEIN	NA	SG	JA	NEIN	NA	mustern	
3115	eren einen Gesellen oder Knecht, ohne sich an die 	Ordnung	 zu binden, zu foerderen und anzunemmen frey gelas	LEGA_P3_WOD_1769_ZunftOrdnungenRAW.txt	LEGA	P3	WOD	1769	1765	ZunftOrdnungenRAW.txt	NA	Ordnung	NA	b	NEIN	an	KEIN	NA	SG	JA	NEIN	NA	ordnen	
3474	d beschrieben worden.       Die dritte war an der 	Ordnung	 Fraeulein Zusia/ und/ damit sie sich bald absolvi	NARR_P1_OOD_1682_WinternaechteRAW.txt	NARR	P1	OOD	1682	1685	WinternaechteRAW.txt	NA	Ordnung	NA	b	NEIN	an	KEIN	NA	SG	JA	NEIN	NA	ordnen	
3476	ienge die Frau von Pokau an/ dann sie ware an der 	Ordnung	 die vierte/ und sagte: Die Geschicht der Fraeulei	NARR_P1_OOD_1682_WinternaechteRAW.txt	NARR	P1	OOD	1682	1685	WinternaechteRAW.txt	NA	Ordnung	NA	b	NEIN	an	KEIN	NA	SG	JA	NEIN	NA	ordnen	
3670	, als ietzund geschiehet, an die Welt, und an die 	Erquickungen	, die wir mit dem Viehe gemein haben, hengen duerf	NARR_P2_OMD_1738_LebensBeschreibungRAW.txt	NARR	P2	OMD	1738	1735	LebensBeschreibungRAW.txt	NA	Erquickung	NA	b	NEIN	an	KEIN	NA	PL	NEIN	NEIN	er	erquicken	
4244	/ jmmittelst doch durch abgebene Schreiben an die 	Regierung	/ naehere Information vnd bessern Bericht jhrer In	NEWS_P1_OOD_1659_muenchmerc.txt	NEWS	P1	OOD	1659	1655	muenchmerc.txt	NA	Regierung	NA	b	NEIN	an	KEIN	NA	SG	NA	JA	NA	regieren	
4850	tter fuer Pommern nach Stettin an die Nicolaische 	Buchhandlung	 gesandt. Der Preis fuer diese hier angekuendigten	NEWS_P3_NoD_1796_stettin.txt	NEWS	P3	NoD	1796	1795	stettin.txt	Buch	Handlung	Nicolaische	b	NEIN	an	KEIN	NA	SG	JA	NEIN	NA	handeln	
4853	 nach einem dreymonathlichen Krankenlager, an der 	Auszehrung	, mein innigst geliebter und unvergeÃŸlicher Ehega	NEWS_P3_NoD_1796_stettin.txt	NEWS	P3	NoD	1796	1795	stettin.txt	NA	Auszehrung	NA	b	NEIN	an	KEIN	NA	SG	NEIN	NEIN	aus	auszehren	
5074	ietung der Gemeinen, hielten Se. Majestaet an die 	Versammlung	 eine auf den Anstand sich beziehende Rede, und au	NEWS_P3_OOD_1780_wien.txt	NEWS	P3	OOD	1780	1785	wien.txt	NA	Versammlung	NA	b	NEIN	an	KEIN	NA	SG	NEIN	NEIN	ver	versammeln	
5185	ihr Vermoegen mit ihnen zu theilen, um sie an der 	Verfolgung	 zu raechen, welche die angebliche Jrreligion der 	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Verfolgung	NA	b	NEIN	an	KEIN	NA	SG	NEIN	NEIN	ver	verfolgen	
5207	chlossen, einen ausserordentlichen Courier an die 	Nationalversammlung	 zu schicken und sie dringend zu ersuchen, Commiss	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	National	Versammlung	NA	b	NEIN	an	KEIN	NA	SG	NEIN	NEIN	ver	versammeln	
