Text_Name	Text_Type	Year	Left	Drittletztes_Wort	Vorletztes_Wort	LetztesWort	Key	Right	Compound	Lemma	Base_Verb	Period	Century	Determiner	Prep_V_ung	Adj	Genitive	Prefix	Syntagma
text_name lambert_organon02_1764	text_texttype Wissenschaft	1764	: en , daß er ſchlechthin dient , die	dient	0	die	Abaͤnderung	 der/d Artikel/Artikel und/und Beywoͤrter/Beiwort darnach/danach zu/z		Abänderung	abändern	17(5|6|7|8|9).	17..	b			post	ab	
text_name brandes_naturlehre01_1830	text_texttype Gebrauchsliteratur	1830	: paſſen wuͤrden , bringt man durch	bringt	man	durch	Abaͤnderung	 der/d Muͤndung/Mündung und/und durch/durch Abaͤnderung/Abänderung		Abänderung	abändern	18(0|1|2|3|4).	18..		durch		post	ab	
text_name brandes_naturlehre01_1830	text_texttype Gebrauchsliteratur	1830	:  Abaͤnderung der Muͤndung und durch	Muͤndung	und	durch	Abaͤnderung	 im/im Anblaſen/Anblasen hervor/hervor ./. Zungenpfeifen/Zungenpfeife		Abänderung	abändern	18(0|1|2|3|4).	18..		durch			ab	
text_name justi_abhandlung01_1758	text_texttype Gebrauchsliteratur	1758	:  , wenn man nicht in Zeiten auf eine	Zeiten	auf	eine	Abaͤnderung	 bedacht/bedachen iſt/sein ./. Die/d Erhaltung/Erhaltung des/d be-/be		Abänderung	abändern	17(5|6|7|8|9).	17..	u				ab	
text_name unknown_civilprozessordnung_1877	text_texttype Gebrauchsliteratur	1877	: ben werden . Das Gericht iſt zu einer	iſt	zu	einer	Abänderung	 ſeiner/seine durch/durch Beſchwerde/Beschwerde angegriffenen/angegr		Abänderung	abändern	18(5|6|7|8|9).	18..	u				ab	
text_name riemann_teichbau_1798	text_texttype Gebrauchsliteratur	1798	: nen jedoch durch eine hier folgende	eine	hier	folgende	Abaͤnderung	 abzuhelfen/abhelfen geſucht/suchen ./. Wenn/wenn man/man naͤmlich/n		Abänderung	abändern	17(5|6|7|8|9).	17..	u		folgend		ab	
text_name brandes_naturlehre01_1830	text_texttype Gebrauchsliteratur	1830	: tuͤrlichen Zahlen fortgeht ; kleine	fortgeht	;	kleine	Abaͤnderungen	 in/in den/d Toͤnen/Ton ,/, die/die nicht/nicht in/in unſre/unsere T		Abänderung	abändern	18(0|1|2|3|4).	18..			klein		ab	
text_name liliencron_adjutantenritte_1883	text_texttype Belletristik	1883	:  zurechtlegen , zuerſt durch kleine	zuerſt	durch	kleine	Abänderungen	 von/von alten/alt Kirchen-/kirchen- und/und Volksweiſen/Volksweise .		Abänderung	abändern	18(5|6|7|8|9).	18..			klein		ab	
text_name krafft_landwirthschaft03_1876	text_texttype Wissenschaft	1876	:  Nutzungszwecken mannigfaltige	:	Nutzungszwecken	mannigfaltige	Abänderungen	 in/in den/d Maßenverhältniſſen/Massenverhältnis ./. Bei/bei der/		Abänderung	abändern	18(5|6|7|8|9).	18..	other		mannigfach		ab	
text_name puetter_staatsverfassung03_1787	text_texttype Wissenschaft	1787	: d der Churfuͤrſten. S. 116. — V.	116.	—	V.	Abaͤnderung	 in/in Anſehung/Ansehung der/d ehemaligen/ehemalig perſoͤnlichen/pe		Abänderung	abändern	17(5|6|7|8|9).	17..			Zahlwort		ab	
